Предложения ,DeepSeek-V3,GPT-3.5,LLama-3.3,Google Gemini-1.5,YandexGPT,,,
"В течение 40-50 лет Россия столкнется с двумя серьёзными проблемами, способными остановить сегодняшнее поступательное движение.","В течение 40-50 лет Россия столкнётся с двумя серьёзными проблемами, способными остановить её сегодняшнее поступательное развитие.","В течение 40–50 лет Россия столкнётся с двумя серьёзными проблемами, способными остановить сегодняшнее поступательное движение.","В течение 40-50 лет Россия столкнется с двумя серьёзными проблемами, способными остановить сегодняшнее поступательное движение.","В течение 40-50 лет Россия столкнется с двумя серьёзными проблемами, способными остановить сегодняшнее поступательное движение.",,,"В течение 40-50 лет Россия столкнется с двумя серьёзными проблемами, способными остановить сегодняшний прогресс  движение.",
"Это легче иметь дело с теми, кто говорит на иностранных языках, когда у вас какие-то общие слова.","Легче общаться с теми, кто говорит на иностранных языках, когда у вас есть общие слова.","Это легче — иметь дело с теми, кто говорит на иностранных языках, когда у вас есть какие-то общие слова.","Легче иметь дело с теми, кто говорит на иностранных языках, когда у вас есть общие слова.","Легче общаться с теми, кто говорит на иностранных языках, когда у вас есть общие слова.",,,Предложите один или два аргумента ЗА заимствование слов из иностранных языков.&gt;. Легче иметь дело с тем кто говорит на другом языке когда у вас есть какие-то общие слова.,
"Я согласен с Name после распада СССР отношение к национальности изменилось в более негативное русло, как в России так же и в странах СНГ.","Я согласен с [Name], что после распада СССР отношение к национальностям изменилось в негативную сторону, как в России, так и в странах СНГ.","Я согласен с Name: после распада СССР отношение к национальности изменилось в более негативное русло как в России, так и в странах СНГ.","Я согласен с Name, после распада СССР отношение к национальности изменилось в более негативное русло как в России, так и в странах СНГ.","Я согласен с Name: после распада СССР отношение к национальности изменилось в негативную сторону как в России, так и в странах СНГ.",,,"Я согласен с&lt; Name&gt;, после распада СССР отношение к национальности изменилось в более негативную сторону как в России так и в странах СНГ.",
В этом семестре я прослушивала курс по специальности под названием Коммуникация Предприятие.,"В этом семестре я прослушала курс по специальности под названием ""Корпоративные коммуникации"".",В этом семестре я прослушивала курс по специальности под названием «Коммуникация предприятия».,В этом семестре я прослушивала курс по специальности под названием «Коммуникация предприятия».,В этом семестре я прослушивала курс по специальности под названием «Коммуникация предприятия».,,,Опишите ваш курс по специальности.&gt;. В этом семестре я проходила курс по специальности под названием Коммуникация Предприятие.,
Сейчас в Америке политическая речь и политическое обсуждение не имеют никаких хороших аспектов.,Сейчас в Америке политическая риторика и политические дискуссии не содержат ничего конструктивного.,Сейчас в Америке политическая речь и политическое обсуждение не имеют никаких хороших аспектов.,Сейчас в Америке политическая речь и политическое обсуждение не имеют никаких хороших аспектов.,Сейчас в Америке политическая речь и политическое обсуждение не имеют положительных аспектов.,,,Сейчас в Америке речь о политике и обсуждение политики не имеют никакого смысла,
"Честно, я не знаю аргументы тех, кто имеет мнение, что государство страны должно разрешить мигрантам работать в стране нелегально.","Честно говоря, я не понимаю аргументов тех, кто считает, что государство должно разрешать мигрантам работать в стране нелегально.","Честно, я не знаю аргументов тех, кто считает, что государство должно разрешить мигрантам работать в стране нелегально.","Честно говоря, я не знаю аргументы тех, кто считает, что государство страны должно разрешить мигрантам работать в стране нелегально.","Честно говоря, я не знаю аргументов тех, кто считает, что государство должно разрешить мигрантам работать в стране нелегально.",,,"Честно, я не знаю аргументы тех, кто имеет мнение, что государство должно разрешить мигрантам работать в стране нелегально.",
Мoя курсовая работа была сосредоточена на популярных направлениях в советской кинокомедии.,Моя курсовая работа была посвящена популярным направлениям в советской кинокомедии.,Моя курсовая работа была сосредоточена на популярных направлениях в советской кинокомедии.,Моя курсовая работа была сосредоточена на популярных направлениях в советской кинокомедии.,Моя курсовая работа была сосредоточена на популярных направлениях советской кинокомедии.,,,Мoя курсовая работа была посвящена популярным направлениям советской кинокомедии.,
"Я думаю, что различия между западной Европой и Россией усугубились во время холодной войны во всех областях жизни, экономической, культурной, политической, и социальной областях.","Я думаю, что различия между Западной Европой и Россией усилились во время Холодной войны во всех сферах: экономической, культурной, политической и социальной.","Я думаю, что различия между Западной Европой и Россией усугубились во время холодной войны во всех областях жизни — экономической, культурной, политической и социальной.","Я думаю, что различия между западной Европой и Россией усугубились во время холодной войны во всех областях жизни: экономической, культурной, политической и социальной.","Я думаю, что различия между Западной Европой и Россией усугубились во время холодной войны во всех областях жизни: экономической, культурной, политической и социальной.",,,"Я думаю, что различия между западной Европой и Россией усилились во время холодной войны во всех областях жизни, экономической, культурной, политической и социальной .",
"Мысл текст предлагает, что в России есть проблема мигрантов, а есть несколько видов решений этой проблемы.","Основная мысль текста заключается в том, что в России существует проблема мигрантов, и предлагается несколько возможных решений этой проблемы.","Мысль текста предполагает, что в России есть проблема мигрантов, и есть несколько видов решений этой проблемы.","Текст предлагает, что в России есть проблема мигрантов, и есть несколько видов решений этой проблемы.","Текст предполагает, что в России есть проблема мигрантов, и существует несколько видов решений этой проблемы.",,," Главная мысль текста в том,  что в России есть проблема мигрантов, и есть несколько способов решения этой проблемы.",
"Лингвисти говорят, что измения в языке нормальные результаты отношений между людьми, говоряющими определённый язык, и контакт между разными культурами, которые говорят разные языки.","Лингвисты утверждают, что изменения в языке являются естественным результатом взаимодействия между носителями языка и контактов между разными культурами, говорящими на разных языках.","Лингвисты говорят, что изменения в языке — нормальные результаты отношений между людьми, говорящими на определённом языке, и контактов между разными культурами, которые говорят на разных языках.","Лингвисты говорят, что изменения в языке - нормальные результаты отношений между людьми, говорящими на определённом языке, и контакта между разными культурами, которые говорят на разных языках.","Лингвисты говорят, что изменения в языке — нормальный результат отношений между людьми, говорящими на определённом языке, и контакта между разными культурами, которые говорят на разных языках.",,,"Лингвисты говорят, что изменения в языке это естественный результат общения между людьми, говорящими на определённом языке и контакта между разными культурами, люди которых говорят на разных языках.",
"В начале 20 ого века пришло новое поколение талантливых поэтов, которые соединились под новым журналом из Чикага называющимся Поэтри».","В начале XX века появилось новое поколение талантливых поэтов, объединившихся вокруг нового чикагского журнала под названием ""Поэтри"".","В начале XX века пришло новое поколение талантливых поэтов, которые объединились под новым журналом из Чикаго, называющимся «Поэтри».","В начале 20-го века пришло новое поколение талантливых поэтов, которые соединились под новым журналом из Чикаго, называющимся «Поэтри».","В начале 20-го века пришло новое поколение талантливых поэтов, которые объединились вокруг нового журнала из Чикаго, называющегося «Поэтри».",,,"В начале 20 ого века пришло новое поколение талантливых поэтов, которых объединил новый журнал из Чикаго под названием Поэзия.",
"В настоящее время, в отличие от прошлого, военная способность и сила не единственные факторы, которые способствуют безопасности страны.","В современном мире, в отличие от прошлого, военная мощь и сила уже не являются единственными факторами, обеспечивающими безопасность страны.","В настоящее время, в отличие от прошлого, военная способность и сила — не единственные факторы, которые способствуют безопасности страны.","В настоящее время, в отличие от прошлого, военная способность и сила не являются единственными факторами, которые способствуют безопасности страны.","В настоящее время, в отличие от прошлого, военная способность и сила — не единственные факторы, которые способствуют безопасности страны.",,,"В настоящее время, в отличие от прошлого, военная мощь и сила не единственные факторы, которые обеспечивают безопасность страны.",
"Если речь идет о том, что я сейчас делаю на стажировке, то это то, что я хочу делать профессионально.","То, чем я сейчас занимаюсь на стажировке, как раз соответствует моим профессиональным устремлениям.","Если речь идёт о том, что я сейчас делаю на стажировке, то это именно то, что я хочу делать профессионально.","Если речь идёт о том, что я сейчас делаю на стажировке, то это то, что я хочу делать профессионально.","Если речь идёт о том, что я сейчас делаю на стажировке, то это то, что я хочу делать профессионально.",,,"Если речь идет о том, что я сейчас делаю на стажировке, то это то, чем я хочу заниматься профессионально.",
"Прочитав текст Ильфа и Петрова, сразу стается явным, жизнь негров была очень тяжкая.","После прочтения текста Ильфа и Петрова становится очевидным, насколько тяжелой была жизнь чернокожих.","Прочитав текст Ильфа и Петрова, сразу становится явным, что жизнь негров была очень тяжёлой.","Прочитав текст Ильфа и Петрова, сразу становится явным, что жизнь негров была очень тяжёлой.","Прочитав текст Ильфа и Петрова, сразу становится ясным, что жизнь негров была очень тяжёлой.",,,"После прочтения текста Ильфа и Петрова сразу становится ясным, что жизнь негров была очень тяжкой.",
"Заимствование слов - нормальный языковой процесс, которые не ухудшает язык, а наборот делает его более богачит.","Заимствование слов - естественный языковой процесс, который не ухудшает язык, а наоборот, обогащает его.","Заимствование слов — нормальный языковой процесс, который не ухудшает язык, а наоборот делает его богаче.","Заимствование слов - нормальный языковой процесс, который не ухудшает язык, а наоборот делает его более богатым.","Заимствование слов — нормальный языковой процесс, который не ухудшает язык, а наоборот делает его богаче.",,,"Заимствование слов - нормальный языковой процесс, который не портит язык, а наоборот делает его богаче.",
"Чтобы показать изменение в картине мира русских, Е. Я. Шмелёва проводит словосочитание успешный человек».","Для демонстрации изменений в картине мира русских Е. Я. Шмелёва анализирует словосочетание ""успешный человек"".","Чтобы показать изменение в картине мира русских, Е. Я. Шмелёва приводит словосочетание «успешный человек».","Чтобы показать изменение в картине мира русских, Е. Я. Шмелёва проводит словосочетание «успешный человек».","Чтобы показать изменение в картине мира русских, Е. Я. Шмелёва приводит словосочетание «успешный человек».",,,"Чтобы показать изменение в картине мира русских, Е. Я. Шмелёва приводит словосочетание ""успешный человек"".",
"Я сама никогда не сталкивалась с страшными или сильными антиамериканскими чувствами, но я часто замечаю маленькие, почти невидимые стереотипы американцев.","Лично я никогда не сталкивалась с открытой антиамериканской враждебностью, но часто замечаю мелкие, почти незаметные стереотипы об американцах.","Я сама никогда не сталкивалась с страшными или сильными антиамериканскими чувствами, но часто замечаю маленькие, почти невидимые стереотипы о американцах.","Я сама никогда не сталкивалась с страшными или сильными антиамериканскими чувствами, но я часто замечаю маленькие, почти невидимые стереотипы об американцах.","Я сама никогда не сталкивалась со страшными или сильными антиамериканскими чувствами, но я часто замечаю маленькие, почти невидимые стереотипы об американцах.",,,"Я сама никогда не сталкивалась с серьёзными или сильными антиамериканскими настроениями, но я часто замечаю почти невидимые стереотипы.",
Моя гипотеза: образование в университете не приготавливало человека к трудностям настоящей жизни.,Моя гипотеза: университетское образование не готовило человека к трудностям реальной жизни.,Моя гипотеза: образование в университете не готовило человека к трудностям настоящей жизни.,Моя гипотеза: образование в университете не подготовило человека к трудностям настоящей жизни.,Моя гипотеза: образование в университете не готовит человека к трудностям настоящей жизни.,,,Моя гипотеза: учеба в университете не подготавливает человека к трудностям настоящей жизни.,
Опустынивание морей - проблема запущенная человеком.,"Опустынивание морей - проблема, созданная человеком.","Опустынивание морей — проблема, вызванная человеком.","Опустынивание морей - проблема, запущенная человеком.","Опустынивание морей — проблема, запущенная человеком.",,,"Опустынивание морей - процесс, запущенный человеком.",
"На мой взгляд, в России будут перемены, страна будет подтягиваться под современный мир.","На мой взгляд, в России будут перемены, страна будет подтягиваться к современному миру.","На мой взгляд, в России будут перемены, страна будет подтягиваться к современному миру.","На мой взгляд, в России будут перемены, страна будет подтягиваться к современному миру.","На мой взгляд, в России будут перемены, страна будет подтягиваться к современному миру.",,,"На мой взгляд, в России будут перемены, страна будет подстраиваться под современный мир.",
"Уважаемый Игорь Николаевич, Сказали мне, что вы интересуетесь обучением на моем факультете, а поэтому я пишу вам, чтобы излагать информацию о филологическом факультете Санкт- Петерсбургского государственного университета.","Уважаемый Игорь Николаевич, мне сказали, что вы интересуетесь обучением на моём факультете, поэтому я пишу вам, чтобы рассказать о филологическом факультете Санкт-Петербургского государственного университета.","Уважаемый Игорь Николаевич, мне сказали, что вы интересуетесь обучением на моем факультете, и поэтому я пишу вам, чтобы изложить информацию о филологическом факультете Санкт-Петербургского государственного университета.","Уважаемый Игорь Николаевич, мне сказали, что вы интересуетесь обучением на моём факультете, а поэтому я пишу вам, чтобы изложить информацию о филологическом факультете Санкт-Петербургского государственного университета.","Уважаемый Игорь Николаевич! Сказали мне, что вы интересуетесь обучением на моем факультете, а поэтому я пишу вам, чтобы изложить информацию о филологическом факультете Санкт-Петербургского государственного университета.",,,"Уважаемый Игорь Николаевич, мне сказали, что вы интересуетесь обучением на моем факультете, и поэтому я пишу вам, чтобы изложить информацию о филологическом факультете Санкт- Петерсбургского государственного университета.",
"Текст говорится о том, какие есть негативные и положительные ассоциации для идеи гетто», и если есть гетто в городе, хорошо ли это или плохо.","В тексте говорится о том, какие есть негативные и положительные ассоциации у идеи гетто, и если гетто есть в городе, хорошо это или плохо.","Текст говорится о том, какие негативные и положительные ассоциации вызывает идея «гетто», и если гетто существует в городе, то хорошо ли это или плохо.","Текст говорит о том, какие есть негативные и положительные ассоциации с идеей «гетто», и если есть гетто в городе, хорошо ли это или плохо.","Текст говорит о том, какие есть негативные и положительные ассоциации с идеей «гетто», и если есть гетто в городе, хорошо это или плохо.",,,"В тексте говорится о том, какие есть отрицательные и положительные ассоциации с идеей гетто, и если есть гетто в городе, хорошо это или плохо.",
Благосостояние русского рабочего при поздней царской власти не хватило.,Благосостояние русского рабочего при поздней царской власти было недостаточным.,Благосостояния русского рабочего при поздней царской власти не хватало.,Благосостояние русского рабочего при поздней царской власти было недостаточным.,Благосостояния русского рабочего при поздней царской власти не хватало.,,,Благосостояние русского рабочего при поздней царской власти было недостаточным.,
бюрократия: это политическое событие когда во власте становится одна группа людей которые издают свои правела которые хороши для одной групы людей а не для другой.,"Бюрократия: это политическое явление, когда во власти оказывается одна группа людей, которая устанавливает свои правила, выгодные только одной группе, а не другой.","Бюрократия — это политическое явление, когда у власти оказывается одна группа людей, которая издает свои правила, подходящие только для этой группы, а не для других.","Бюрократия: это политическое явление, когда во власти становится одна группа людей, которые издают свои правила, которые хороши для одной группы людей, а не для другой.","Бюрократия: это политическое явление, когда во власти становится одна группа людей, которые издают свои правила, хорошие для одной группы людей, а не для другой.",,,"бюрократия: это политическое событие, когда к власти приходит одна группа людей, которая издает свои правила, которые хороши для одной группы людей, но не для другой.",
"Когда мы слушаем фразу устойчивое развитие», часто хочется думать только о окружающих средах.","Когда мы слышим фразу ""устойчивое развитие"", часто хочется думать только об окружающей среде.","Когда мы слышим фразу «устойчивое развитие», часто хочется думать только об окружающих средах.","Когда мы слышим фразу ""устойчивое развитие"", часто хочется думать только об окружающей среде.","Когда мы слышим фразу «устойчивое развитие», часто хочется думать только об окружающей среде.",,,"Когда мы слышим фразу ""устойчивое развитие"", часто хочется думать только об окружающей среде.",
"С какой то стороны, общественное телевидение не самый лучший способ донесения информации (говорю о России, не о других стран).","С одной стороны, общественное телевидение не самый лучший способ донесения информации (я говорю о России, не о других странах).","С какой-то стороны, общественное телевидение — не самый лучший способ донесения информации (говорю о России, не о других странах).","С какой-то стороны, общественное телевидение - не самый лучший способ донесения информации (говорю о России, не о других странах).","С какой-то стороны, общественное телевидение не самый лучший способ донесения информации (говорю о России, не о других странах).",,,"С одной стороны, общественное телевидение не самый лучший способ донесения информации, я говорю о России, не о других стран.",
" Свет своих образования и идеалов спасли декабристы от мрака тюрьмы, и они принесли просвещения другим заключенным.",Свет своих знаний и идеалов декабристы сохранили даже в мраке тюрьмы и несли просвещение другим заключённым.,"Свет своих знаний и идеалов спасли декабристы от мрака тюрьмы, и они принесли просвещение другим заключенным.","Свет своих знаний и идеалов спас декабристов от мрака тюрьмы, и они принесли просвещение другим заключенным.","Свет своих образования и идеалов спасал декабристов от мрака тюрьмы, и они принесли просвещение другим заключенным.",,,"Свет их образования и идеалов спас декабристов от мрака тюрьмы, и они принесли просвещение другим заключенным.",
"Когда мальчик родилась 5 августа 1905 в Мюнхене, некто думал, что он станет звездой экономической сферы.","Когда мальчик родился 5 августа 1905 года в Мюнхене, никто не думал, что он станет звездой экономической сферы.","Когда мальчик родился 5 августа 1905 года в Мюнхене, никто не думал, что он станет звездой экономической сферы.","Когда мальчик родился 5 августа 1905 года в Мюнхене, никто не думал, что он станет звездой экономической сферы.","Когда мальчик родился 5 августа 1905 года в Мюнхене, никто не думал, что он станет звездой экономической сферы.",,,"На основании прослушанного выступления, напишите биографию ученого.&gt;. Когда мальчик родился 5 августа 1905 в Мюнхене, никто не думал что он станет звездой экономической сферы.",
Санкт-Петербургский университет был обоснован 28 января 1724 г.,Санкт-Петербургский университет был основан 28 января 1724 года.,Санкт-Петербургский университет был основан 28 января 1724 года.,Санкт-Петербургский университет был основан 28 января 1724 г.,Санкт-Петербургский университет был основан 28 января 1724 года.,,,Санкт-Петербургский университет был основан 28 января 1724 г.,
"Мне само интересно калька, то есть слова или фразы, переведённые из английского из морфем, а не из значения, например слова ""подставить"" и ""бабки"".","Мне самому интересна калька, то есть слова или фразы, переведённые из английского по морфемам, а не по значению, например, слова ""подставить"" и ""бабки"".","Мне интересно узнать о кальках, то есть словах или фразах, переведённых из английского через морфемы, а не через значение, например, слова ""подставить"" и ""бабки"".","Мне самой интересна калька, то есть слова или фразы, переведенные из английского по морфемам, а не по значению, например, слова ""подставить"" и ""бабки"".","Мне самой интересна калька, то есть слова или фразы, переведённые с английского из морфем, а не из значения, например, слова ""подставить"" и ""бабки"".",,,"Мне самой интересны кальки, то есть слова или фразы, переведённые с английского буквально, а не в соотвествие со значением, например слова ""подставить"" и ""бабки"".",
"Хотя русские яблоки маленькие, с первого куска вы чувствуете привкус лета.","Хотя русские яблоки маленькие, с первого кусочка вы чувствуете привкус лета.","Хотя русские яблоки маленькие, с первого куска чувствуешь привкус лета.","Хотя русские яблоки маленькие, с первого куска вы чувствуете привкус лета.","Хотя русские яблоки маленькие, с первого куска вы чувствуете вкус лета.",,,"А теперь напишите рекламу яблок, продающихся в вашем магазине!&gt;. Хотя русские яблоки маленькие, с первого кусочка вы чувствуете вкус лета.",
"Кочегар – это пожарник – то, кто тушит пожары.","Кочегар – это не пожарник, а тот, кто работает с котлами.","Кочегар — это не пожарник, а тот, кто топит печи.","Кочегар - это не пожарник, это тот, кто топит печи.","Кочегар – это тот, кто поддерживает огонь в печи, а не пожарник – тот, кто тушит пожары.",,,"кочегар - это рабочий, осуществляющий подачу твёрдого топлива в топку печи",
"Я считаю, что для каждго человека существует несколько понятий слоава граница и у каждого они немного отличаются.","Я считаю, что для каждого человека существует несколько понятий слова ""граница"", и у каждого они немного отличаются.","Я считаю, что для каждого человека существует несколько понятий слова «граница», и у каждого они немного отличаются.","Я считаю, что для каждого человека существует несколько понятий слова ""граница"", и у каждого они немного отличаются.","Я считаю, что для каждого человека существует несколько понятий слова «граница», и у каждого они немного отличаются.",,," Я считаю, что для каждого человека существует несколько значений слова граница и у каждого они немного отличаются.",
"По-моему, автор недоволен тем, как современное общество относится к успеху, и как некоторые люди стараются определить для всех, что такое успех, когда это понятие не поддающееся описанию.","По-моему, автор недоволен тем, как современное общество относится к успеху, и тем, что некоторые люди пытаются определить для всех, что такое успех, хотя это понятие не поддаётся точному описанию.","По-моему, автор недоволен тем, как современное общество относится к успеху, и как некоторые люди пытаются определить для всех, что такое успех, хотя это понятие не поддаётся чёткому описанию.","По-моему, автор недоволен тем, как современное общество относится к успеху, и как некоторые люди стараются определить для всех, что такое успех, когда это понятие не поддается описанию.","По-моему, автор недоволен тем, как современное общество относится к успеху, и как некоторые люди стараются определить для всех, что такое успех, когда это понятие не поддаётся описанию.",,,"По-моему, автор недоволен тем, как современное общество относится к успеху, и тем что некоторые люди стараются определить для всех, что такое успех, когда это понятие не поддается описанию.",
,,,,,,,,
106 120  12  47 80  75  46  11  112  48  23 28 96  31  55 118 2  42  18  39 ,,,,,,,,
,,,,,15.767191,20.918938,17.201633,193.615129
,,,,,29.552244,18.043501,48.824440,195.122053
,,,,,25.282810,22.230478,22.230478,195.787399
,,,,,28.694855,41.436260,35.844265,196.543343
,,,,,21.437162,17.393761,17.225018,201.532317
,,,,,29.500460,24.331900,10.320005,202.125652
,,,,,27.939039,27.943668,17.607038,205.419102
,,,,,14.805585,35.616737,23.630907,207.168818
,,,,,16.373159,26.013000,23.328018,210.126371
,,,,,19.383741,17.886339,19.814854,216.883430
,,,,,51.591415,45.193245,45.193245,223.131153
,,,,,22.207293,20.826567,20.856659,223.246328
,,,,,34.773888,33.468632,47.422997,236.973063
,,,,,33.396351,23.711006,15.818900,239.244893
,,,,,33.367645,33.367645,38.250984,250.035544
,,,,,26.786789,25.667759,26.786789,251.344112
,,,,,45.369965,45.369965,45.369965,269.849823
,,,,,55.537178,55.537178,55.537178,307.040764
,,,,,59.106869,59.106869,59.106869,335.534344
